name;first_skipper_name;first_skipper_nationality;second_skipper_name;second_skipper_nationality;photo_url
FRENCH TOUCH OCEANS CLUB;Eric PERON;FRA;;;
KOESIO;Erwan LE ROUX;FRA;Audrey OGEREAU;FRA;
LE RIRE MEDECIN - LAMOTTE;Luke BERRY;FRA;Antoine JOUBERT;FRA;
PRIMONIAL;Sébastien ROGUES;FRA;Jean Baptiste GELLEE;FRA;
REALITES;Fabrice CAHIERC;FRA;Aymeric CHAPPELLIER;FRA;
SOLIDAIRES EN PELOTON;Thibaut VAUCHEL CAMUS;FRA;Quentin VLAMYNCK;FRA;
VIABILIS;Pierre QUIROGA;FRA;;;
