name;first_skipper_name;first_skipper_nationality;second_skipper_name;second_skipper_nationality;photo_url
ACTUAL ULTIM 3;Anthony MARCHAND;fr;Thierry CHABAGNY;fr;
BANQUE POPULAIRE;Armel LE CLEAC'H;fr;Sébastien JOSSE;fr;
EDMOND DE ROHSCHILD;Charles CAUDRELIER;fr;Erwan ISRAEL;fr;
SODEBO ULTIM 3;Thomas COVILLE;fr;Thomas ROUXEL;fr;
SVR LAZARTIGUE;François GABART;fr;Tom LAPERCHE;fr;
